model - 1592054525, 1592054525.751, 0.54,0.2494, 0.48, 0.2588
model - 1592054525, 1592054525.807, 0.58,0.2433, 0.49, 0.2559
model - 1592054525, 1592054525.866, 0.47,0.2606, 0.53, 0.2514
model - 1592054525, 1592054525.924, 0.55,0.2489, 0.49, 0.2603
model - 1592054525, 1592054525.984, 0.47,0.2622, 0.44, 0.2561
model - 1592054525, 1592054526.042, 0.47,0.2533, 0.48, 0.2501
model - 1592054525, 1592054526.1, 0.53,0.2498, 0.48, 0.2502
model - 1592054525, 1592054526.155, 0.55,0.2499, 0.51, 0.2498
model - 1592054525, 1592054526.213, 0.49,0.25, 0.55, 0.2489
model - 1592054525, 1592054526.27, 0.48,0.2504, 0.43, 0.251
model - 1592054525, 1592054526.328, 0.51,0.2498, 0.43, 0.2512
model - 1592054525, 1592054526.391, 0.53,0.2495, 0.51, 0.2492
model - 1592054525, 1592054526.451, 0.51,0.2499, 0.54, 0.249
model - 1592054525, 1592054526.507, 0.56,0.2489, 0.51, 0.2497
model - 1592054525, 1592054526.582, 0.49,0.25, 0.53, 0.2499
model - 1592054525, 1592054526.654, 0.55,0.2494, 0.56, 0.2486
model - 1592054525, 1592054526.713, 0.52,0.2491, 0.58, 0.2481
model - 1592054525, 1592054526.769, 0.56,0.2485, 0.59, 0.2465
model - 1592054525, 1592054526.827, 0.55,0.2485, 0.63, 0.2454
model - 1592054525, 1592054526.887, 0.53,0.2497, 0.5, 0.2494
model - 1592054525, 1592054526.944, 0.56,0.2467, 0.49, 0.25
model - 1592054525, 1592054527.0, 0.44,0.2512, 0.6, 0.2425
model - 1592054525, 1592054527.058, 0.53,0.2488, 0.57, 0.243
model - 1592054525, 1592054527.114, 0.53,0.2499, 0.56, 0.2443
model - 1592054525, 1592054527.173, 0.54,0.2468, 0.47, 0.2546
model - 1592054525, 1592054527.229, 0.51,0.2496, 0.44, 0.2542
model - 1592054525, 1592054527.287, 0.47,0.2513, 0.5, 0.2502
model - 1592054525, 1592054527.342, 0.54,0.2488, 0.48, 0.2503
model - 1592054525, 1592054527.409, 0.53,0.2476, 0.48, 0.2505
model - 1592054525, 1592054527.468, 0.48,0.2503, 0.56, 0.2439
model - 1592054525, 1592054527.531, 0.52,0.2465, 0.53, 0.2492
model - 1592054525, 1592054527.587, 0.52,0.2499, 0.51, 0.2474
model - 1592054525, 1592054527.645, 0.54,0.2478, 0.55, 0.2444
model - 1592054525, 1592054527.708, 0.53,0.2482, 0.55, 0.2506
model - 1592054525, 1592054527.768, 0.58,0.246, 0.6, 0.2463
model - 1592054525, 1592054527.831, 0.56,0.2485, 0.56, 0.2425
model - 1592054525, 1592054527.893, 0.6,0.2412, 0.54, 0.2454
model - 1592054525, 1592054527.947, 0.53,0.2484, 0.56, 0.2465
model - 1592054525, 1592054528.007, 0.56,0.2488, 0.63, 0.2418
model - 1592054525, 1592054528.062, 0.59,0.241, 0.65, 0.2424
model - 1592054525, 1592054528.127, 0.54,0.2418, 0.63, 0.2381
model - 1592054525, 1592054528.183, 0.59,0.244, 0.54, 0.2485
model - 1592054525, 1592054528.241, 0.59,0.2477, 0.6, 0.2445
model - 1592054525, 1592054528.297, 0.6,0.2402, 0.55, 0.2507
model - 1592054525, 1592054528.354, 0.51,0.2523, 0.58, 0.2412
model - 1592054525, 1592054528.418, 0.59,0.2368, 0.53, 0.2455
